Player,Pitcher,T,PA,AB,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GIDP,Current Tm,Player-additional
Nick Castellanos,Ryan Weathers,L,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FLA,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=weathe001rya&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Tyler Anderson,L,3,3,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0,0,0,0,ANA,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=anders001tyl&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Graham Ashcraft,R,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CIN,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=ashcra000gra&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Pedro Avila,R,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,SDP,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=avila-003ped&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,David Bednar,R,3,2,0,0,0,0,0,1,1,0,0.333,0,0.333,0,0,0,0,0,PIT,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=bednar002dav&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Tanner Bibee,R,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CLE,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=bibee-000tan&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Kyle Bradish,R,3,3,1,0,0,0,1,0,1,0.333,0.333,0.333,0.667,0,0,0,0,0,BAL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=bradis000kyl&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Corbin Burnes,R,3,2,1,0,0,0,0,0,0,0.5,0.667,0.5,1.167,0,0,0,1,0,BAL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=burnes000cor&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Edward Cabrera,R,3,3,1,1,0,0,0,0,1,0.333,0.333,0.667,1,0,0,0,0,0,FLA,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=cabrer004edw&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Luis Cessa,R,3,2,1,0,0,0,1,1,0,0.5,0.667,0.5,1.167,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=cessa-001lui&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Gerrit Cole,R,3,2,0,0,0,0,0,1,2,0,0.333,0,0.333,0,0,0,0,0,NYY,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=cole--001ger&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Patrick Corbin,L,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WSN,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=corbin001pat&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Fernando Cruz,R,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CIN,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=cruz--003fer&year_min=2023&year_max=2023&seasons_type=forall
